algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,NRIJIX,01001110010100100100100101001010010010010101100011100000111101001100011011100011,01001110010100100100100101001010010010010101100011100000111101001100011011100011,0,-1,error_detectado,0,0.83,0.017
fletcher,DRZ,0100010001010010010110100000000010011110010100101110001010100100,0100010001010010010110100000000010011110010100101110001010100100,0,-1,error_detectado,0,0.48,0.103
fletcher,JRDAQNMX,010010100101001001000100010000010101000101001110010011010101100000101101001110101110011000000001,010010100101001001000100110000010101000101001110010011010101100000101101001110101110011000000001,1,24,error_detectado,0,0.39,0.109
fletcher,JOVJQWAHLG,0100101001001111010101100100101001010001010101110100000101001000010011000100011101111111100000001000111110010011,0100101001001110010101100100101001010001010101110100000101001000010011000100011101111111100000001000111110010011,1,15,error_detectado,0,0.43,0.189
fletcher,LFIUG,01001100010001100100100101010101010001110000000011011100100110111011111001111101,01001100010001100100100101010101010001110000000011011100100110111011111001111101,0,-1,error_detectado,0,0.45,0.097
fletcher,VIAYVGFC,010101100100100101000001010110010101011001000111010001100100001100110100001011010001000000000011,010101100100100101000001010110010101011001000111010001100100001100110100001011010001000000000011,0,-1,error_detectado,0,0.4,0.046
fletcher,DCMAW,01000100010000110100110101000001010101110000000011101000100001001011111001001100,01000100010000110100110101000001010101110000000011101000100001001011111001001100,0,-1,error_detectado,0,0.49,0.187
fletcher,MKKGH,01001101010010110100101101000111010010000000000011100000100100101100011001110000,01001101010010110100101101000111010010000000000011100000100100101100011001110000,0,-1,error_detectado,0,0.51,0.102
fletcher,ALADECSJOE,0100000101001100010000010100010001000101010000110101001101001010010011110100010101101010011000110001000100110010,0100000101001100010000010100010001000101010000110101001101001010010011110100010101101010011000110001000100110010,0,-1,error_detectado,0,0.5,0.174
fletcher,VQBTAGUPS,0101011001010001010000100101010001000001010001110101010101010000010100110000000010000010001111010111101001011110,0101011001010001010000100101010001000001010001110101010101010000010100110000000010000010001111010111101001011110,0,-1,error_detectado,0,0.5,0.105
fletcher,PFQOLMCU,010100000100011001010001010011110100110001001101010000110101010100110001001110000001000011110111,010100000100011001010001010011110100110001001101010000110101010100110001001110000001000011110111,0,-1,error_detectado,0,0.48,0.15
fletcher,VEKGVFH,010101100100010101001011010001110101011001000110010010000000000000111111110100110010111101111000,010101100100010101001011010001110101011001000110010010000000000000111111110100110010111101111000,0,-1,error_detectado,0,0.46,0.167
