algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,PFQIK,01010000010001100101000101001001010010110111110001111100,01010000010001100101000101001001010010110111110001111100,0,-1,correcta,1,1.17,0.04
fletcher,YUZJHC,0101100101010101010110100100101001001000010000111101111011011110,0101100101010101010110100100101001001000010000111101111011011110,0,-1,correcta,1,1.26,0.157
fletcher,EBMNSDOA,01000101010000100100110101001110010100110100010001001111010000010100101101001011,01000101010000100100110101001110010100110100010001001111010000010100101101001011,0,-1,correcta,1,0.82,0.01
fletcher,RXXB,010100100101100001011000010000100100010101000101,010100100101100001011000010000100100010101000101,0,-1,correcta,1,0.55,0.029
fletcher,MKKRYOBOI,0100110101001011010010110101001001011001010011110100001001001111010010011011100110111001,0100110101001011010010110101001001011001010011110100001001001111010010011011100110111001,0,-1,correcta,1,0.3,0.07
fletcher,GKGOASARYV,010001110100101101000111010011110100000101010011010000010101001001011001010101100000000100000001,010001110100101101000111010011110100000101010011010000010101001001011001010101100000000100000001,0,-1,correcta,1,1.12,0.125
fletcher,KSENM,01001011010100110100010101001110010011010111111101111111,01001011010100110100010101001110010011010111111101111111,0,-1,correcta,1,0.46,0.183
fletcher,XOB,0101100001001111010000101110100111101001,0101100001001111010000101110100111101001,0,-1,correcta,1,1.38,0.051
fletcher,ZKS,0101101001001011010100111111100011111000,0101101001001011010100111111100011111000,0,-1,correcta,1,0.73,0.1
fletcher,KDXUP,01001011010001000101100001010101010100001000110110001101,01001011010001000101100001010101010100001000110110001101,0,-1,correcta,1,1.16,0.107
fletcher,HQOOLZZKWM,010010000101000101001111010011110100110001011010010110100100101101010111010011010010100100101001,010010000101000101001111010011110100110001011010010110100100101101010111010011010010100100101001,0,-1,correcta,1,1.8,0.103
fletcher,TWN,0101010001010111010011101111100111111001,0101010001010111010011101111100111111001,0,-1,correcta,1,1.48,0.069
fletcher,TWX,0101010001010111010110000000010000000100,0101010001010111010110000000010000000100,0,-1,correcta,1,0.5,0.082
fletcher,TWX,0101010001010111010110000000010000000100,0101010001010111010110000000010000000100,0,-1,correcta,1,1.3,0.054
fletcher,PJLGJ,01010000010010100100110001000111010010100111100001111000,01010000010010100100110001000111010010100111100001111000,0,-1,correcta,1,0.56,0.192
fletcher,WXWNGS,0101011101011000010101110100111001000111010100111110111111101111,0101011101011000010101110100111001000111010100111110111111101111,0,-1,correcta,1,1.31,0.141
fletcher,XOA,0101100001001111010000011110100011101000,0101100001001111010000011110100011101000,0,-1,correcta,1,1.06,0.036
fletcher,XOH,0101100001001111010010001110111111101111,0101100001001111010010001110111111101111,0,-1,correcta,1,1.09,0.138
