algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,VGCJG,01010110010001110100001101001010010001110111001001110010,01010110010001110100001101001010010001110111001001110010,0,-1,correcta,1,0.69,0.102
fletcher,WQL,0101011101010001010011001111010011110100,0101011101010001010011001111010011110100,0,-1,correcta,1,0.27,0.064
fletcher,VSS,0101011001010011010100111111110011111100,0101011001010011010100111111110011111100,0,-1,correcta,1,1.8,0.026
fletcher,KNPDQVVUX,0100101101001110010100000100010001010001010101100101011001010101010110001101100111011001,0100101101001110010100000100010001010001010101100101011001010101010110001101100111011001,0,-1,correcta,1,0.27,0.055
fletcher,YMP,0101100101001101010100001111011011110110,0101100101001101010100001111011011110110,0,-1,correcta,1,0.88,0.159
fletcher,UUY,0101010101010101010110010000010000000100,0101010101010101010110010000010000000100,0,-1,correcta,1,0.24,0.097
fletcher,JXXLKDRMQP,010010100101100001011000010011000100101101000100010100100100110101010001010100000001100000011000,010010100101100001011000010011000100101101000100010100100100110101010001010100000001100000011000,0,-1,correcta,1,0.37,0.152
fletcher,JKOVS,01001010010010110100111101010110010100111000111010001110,01001010010010110100111101010110010100111000111010001110,0,-1,correcta,1,0.71,0.175
fletcher,FPBCYCL,010001100101000001000010010000110101100101000011010011000000010100000101,010001100101000001000010010000110101100101000011010011000000010100000101,0,-1,correcta,1,1.71,0.157
fletcher,VSH,0101011001010011010010001111000111110001,0101011001010011010010001111000111110001,0,-1,correcta,1,0.6,0.187
fletcher,OHTAX,01001111010010000101010001000001010110001000010110000101,01001111010010000101010001000001010110001000010110000101,0,-1,correcta,1,0.63,0.065
fletcher,JRUTBCQRM,0100101001010010010101010101010001000010010000110101000101010010010011011011110010111100,0100101001010010010101010101010001000010010000110101000101010010010011011011110010111100,0,-1,correcta,1,1.57,0.184
fletcher,WPYT,010101110101000001011001010101000101010101010101,010101110101000001011001010101000101010101010101,0,-1,correcta,1,0.61,0.184
fletcher,OBXKG,01001111010000100101100001001011010001110111110001111100,01001111010000100101100001001011010001110111110001111100,0,-1,correcta,1,1.02,0.117
fletcher,QSWRPHSX,01010001010100110101011101010010010100000100100001010011010110001001001010010010,01010001010100110101011101010010010100000100100001010011010110001001001010010010,0,-1,correcta,1,0.42,0.123
fletcher,VMYJGNPFBM,010101100100110101011001010010100100011101001110010100000100011001000010010011010000001100000011,010101100100110101011001010010100100011101001110010100000100011001000010010011010000001100000011,0,-1,correcta,1,6.64,0.014
fletcher,QBIDGLK,010100010100001001001001010001000100011101001100010010110000000000000000,010100010100001001001001010001000100011101001100010010110000000000000000,0,-1,correcta,1,0.41,0.069
fletcher,ESAIBZY,010001010101001101000001010010010100001001011010010110010001100100011001,010001010101001101000001010010010100001001011010010110010001100100011001,0,-1,correcta,1,0.74,0.057
