algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,XOE,0101100001001111010001011110110011101100,0101100001001111010001011110110011101100,0,-1,correcta,1,0.71,0.036
fletcher,PINPJSOSD,0101000001001001010011100101000001001010010100110100111101010011010001001011110010111100,0101000001001001010011100101000001001010010100110100111101010011010001001011110010111100,0,-1,correcta,1,0.36,0.021
fletcher,EQHZQRLRL,0100010101010001010010000101101001010001010100100100110001010010010011001100011111000111,0100010101010001010010000101101001010001010100100100110001010010010011001100011111000111,0,-1,correcta,1,1.09,0.107
fletcher,TYZLUND,010101000101100101011010010011000101010101001110010001000011110000111100,010101000101100101011010010011000101010101001110010001000011110000111100,0,-1,correcta,1,0.23,0.117
fletcher,ZHXHXQOI,01011010010010000101100001001000010110000101000101001111010010011000010110000101,01011010010010000101100001001000010110000101000101001111010010011000010110000101,0,-1,correcta,1,0.46,0.089
fletcher,SYM,0101001101011001010011011111100111111001,0101001101011001010011011111100111111001,0,-1,correcta,1,0.89,0.179
fletcher,IZAIH,01001001010110100100000101001001010010000111011001110110,01001001010110100100000101001001010010000111011001110110,0,-1,correcta,1,1.38,0.096
fletcher,HQLRL,01001000010100010100110001010010010011001000010010000100,01001000010100010100110001010010010011001000010010000100,0,-1,correcta,1,0.32,0.156
fletcher,EQTNP,01000101010100010101010001001110010100001000100110001001,01000101010100010101010001001110010100001000100110001001,0,-1,correcta,1,3,0.119
fletcher,HRWJGYDLW,0100100001010010010101110100101001000111010110010100010001001100010101111100010011000100,0100100001010010010101110100101001000111010110010100010001001100010101111100010011000100,0,-1,correcta,1,0.53,0.068
fletcher,HLYGM,01001000010011000101100101000111010011011000001010000010,01001000010011000101100101000111010011011000001010000010,0,-1,correcta,1,0.39,0.138
fletcher,BOJIGRI,010000100100111101001010010010010100011101010010010010010000100000001000,010000100100111101001010010010010100011101010010010010010000100000001000,0,-1,correcta,1,0.37,0.078
fletcher,XQTN,010110000101000101010100010011100100110001001100,010110000101000101010100010011100100110001001100,0,-1,correcta,1,0.97,0.172
fletcher,WUOX,010101110101010101001111010110000101010001010100,010101110101010101001111010110000101010001010100,0,-1,correcta,1,0.55,0.024
fletcher,FMYLQ,01000110010011010101100101001100010100011000101010001010,01000110010011010101100101001100010100011000101010001010,0,-1,correcta,1,0.28,0.061
fletcher,VSP,0101011001010011010100001111100111111001,0101011001010011010100001111100111111001,0,-1,correcta,1,0.27,0.018
fletcher,YMR,0101100101001101010100101111100011111000,0101100101001101010100101111100011111000,0,-1,correcta,1,0.33,0.18
fletcher,LGVVOANWK,0100110001000111010101100101011001001111010000010100111001010111010010111100000111000001,0100110001000111010101100101011001001111010000010100111001010111010010111100000111000001,0,-1,correcta,1,0.55,0.054
fletcher,IACEVVNTOQ,010010010100000101000011010001010101011001010110010011100101010001001111010100010000001100000011,010010010100000101000011010001010101011001010110010011100101010001001111010100010000001100000011,0,-1,correcta,1,0.43,0.122
fletcher,DQVNC,01000100010100010101011001001110010000110111110101111101,01000100010100010101011001001110010000110111110101111101,0,-1,correcta,1,0.6,0.097
fletcher,AFNXHFN,010000010100011001001110010110000100100001000110010011100000101100001011,010000010100011001001110010110000100100001000110010011100000101100001011,0,-1,correcta,1,0.61,0.084
fletcher,TWH,0101010001010111010010001111001111110011,0101010001010111010010001111001111110011,0,-1,correcta,1,2.28,0.148
fletcher,WQV,0101011101010001010101101111111011111110,0101011101010001010101101111111011111110,0,-1,correcta,1,1.03,0.064
