algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,LAZVD,01001100010000010101101001010110010001001000001010000010,01001100010000010101101001010110010001001000001010000010,0,-1,correcta,1,0.35,0.07
fletcher,LSBPF,01001100010100110100001001010000010001100111100001111000,01001100010100110100001001010000010001100111100001111000,0,-1,correcta,1,0.49,0.063
fletcher,HOPPE,01001000010011110101000001010000010001010111110101111101,01001000010011110101000001010000010001010111110101111101,0,-1,correcta,1,0.33,0.037
fletcher,DQZTOLWAVB,010001000101000101011010010101000100111101001100010101110100000101010110010000100001000100010001,010001000101000101011010010101000100111101001100010101110100000101010110010000100001000100010001,0,-1,correcta,1,0.56,0.095
fletcher,ZEXTOJZW,01011010010001010101100001010100010011110100101001011010010101111001011110010111,01011010010001010101100001010100010011110100101001011010010101111001011110010111,0,-1,correcta,1,0.7,0.183
fletcher,DPDGKMQE,01000100010100000100010001000111010010110100110101010001010001010100111101001111,01000100010100000100010001000111010010110100110101010001010001010100111101001111,0,-1,correcta,1,1.08,0.034
fletcher,XOU,0101100001001111010101011111110011111100,0101100001001111010101011111110011111100,0,-1,correcta,1,0.41,0.17
fletcher,OEOTC,01001111010001010100111101010100010000110111101101111011,01001111010001010100111101010100010000110111101101111011,0,-1,correcta,1,0.63,0.047
fletcher,VZHE,010101100101101001001000010001010011111000111110,010101100101101001001000010001010011111000111110,0,-1,correcta,1,0.72,0.071
fletcher,XOA,0101100001001111010000011110100011101000,0101100001001111010000011110100011101000,0,-1,correcta,1,1.84,0.1
fletcher,GNZCF,01000111010011100101101001000011010001100111100101111001,01000111010011100101101001000011010001100111100101111001,0,-1,correcta,1,2.96,0.11
fletcher,ZKE,0101101001001011010001011110101011101010,0101101001001011010001011110101011101010,0,-1,correcta,1,1.48,0.165
fletcher,UUY,0101010101010101010110010000010000000100,0101010101010101010110010000010000000100,0,-1,correcta,1,0.54,0.183
fletcher,YROP,010110010101001001001111010100000100101101001011,010110010101001001001111010100000100101101001011,0,-1,correcta,1,3.11,0.157
fletcher,TVVN,010101000101011001010110010011100100111101001111,010101000101011001010110010011100100111101001111,0,-1,correcta,1,1,0.04
fletcher,QFPWUGSVES,010100010100011001010000010101110101010101000111010100110101011001000101010100110001111000011110,010100010100011001010000010101110101010101000111010100110101011001000101010100110001111000011110,0,-1,correcta,1,0.92,0.038
fletcher,WQN,0101011101010001010011101111011011110110,0101011101010001010011101111011011110110,0,-1,correcta,1,4.36,0.195
fletcher,XOS,0101100001001111010100111111101011111010,0101100001001111010100111111101011111010,0,-1,correcta,1,1.09,0.005
fletcher,TWW,0101010001010111010101110000001100000011,0101010001010111010101110000001100000011,0,-1,correcta,1,1.61,0.004
fletcher,RZTI,010100100101101001010100010010010100101001001010,010100100101101001010100010010010100101001001010,0,-1,correcta,1,1.68,0.031
fletcher,WOUVFNMJ,01010111010011110101010101010110010001100100111001001101010010100111111001111110,01010111010011110101010101010110010001100100111001001101010010100111111001111110,0,-1,correcta,1,0.7,0.187
fletcher,YPST,010110010101000001010011010101000101000101010001,010110010101000001010011010101000101000101010001,0,-1,correcta,1,1.24,0.043
fletcher,AEJNFHCSO,0100000101000101010010100100111001000110010010000100001101010011010011111001001110010011,0100000101000101010010100100111001000110010010000100001101010011010011111001001110010011,0,-1,correcta,1,0.36,0.128
fletcher,UUR,0101010101010101010100101111110011111100,0101010101010101010100101111110011111100,0,-1,correcta,1,2.89,0.138
fletcher,ZKZA,010110100100101101011010010000010100000101000001,010110100100101101011010010000010100000101000001,0,-1,correcta,1,2.23,0.027
