algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,PAEMFNY,010100000100000101000101010011010100011001001110010110010001001000010010,010100000100000101000101010011010100011001001110010110010001001000010010,0,-1,correcta,1,0.46,0.046
fletcher,NETNL,01001110010001010101010001001110010011001000001010000010,01001110010001010101010001001110010011001000001010000010,0,-1,correcta,1,0.52,0.119
fletcher,WFDGJ,01010111010001100100010001000111010010100111001101110011,01010111010001100100010001000111010010100111001101110011,0,-1,correcta,1,0.91,0.087
fletcher,KNUMQIDUC,0100101101001110010101010100110101010001010010010100010001010101010000111011001110110011,0100101101001110010101010100110101010001010010010100010001010101010000111011001110110011,0,-1,correcta,1,0.28,0.193
fletcher,QCLXH,01010001010000110100110001011000010010001000000110000001,01010001010000110100110001011000010010001000000110000001,0,-1,correcta,1,0.51,0.03
fletcher,ZKZ,0101101001001011010110100000000000000000,0101101001001011010110100000000000000000,0,-1,correcta,1,0.97,0.165
fletcher,VWTUXCN,010101100101011101010100010101010101100001000011010011100100000101000001,010101100101011101010100010101010101100001000011010011100100000101000001,0,-1,correcta,1,0.65,0.053
fletcher,YMB,0101100101001101010000101110100011101000,0101100101001101010000101110100011101000,0,-1,correcta,1,0.62,0.175
fletcher,JFKAASTYWH,010010100100011001001011010000010100000101010011010101000101100101010111010010001111111011111110,010010100100011001001011010000010100000101010011010101000101100101010111010010001111111011111110,0,-1,correcta,1,1.84,0.067
fletcher,NQODJUVMR,0100111001010001010011110100010001001010010101010101011001001101010100101100100011001000,0100111001010001010011110100010001001010010101010101011001001101010100101100100011001000,0,-1,correcta,1,0.6,0.044
fletcher,JMOPW,01001010010011010100111101010000010101111000111010001110,01001010010011010100111101010000010101111000111010001110,0,-1,correcta,1,0.74,0.134
fletcher,HPMSR,01001000010100000100110101010011010100101000101110001011,01001000010100000100110101010011010100101000101110001011,0,-1,correcta,1,1.1,0.116
fletcher,PZWUTC,0101000001011010010101110101010101010100010000111110111011101110,0101000001011010010101110101010101010100010000111110111011101110,0,-1,correcta,1,1.44,0.025
fletcher,YNWO,010110010100111001010111010011110100111001001110,010110010100111001010111010011110100111001001110,0,-1,correcta,1,0.92,0.109
fletcher,AYOPM,01000001010110010100111101010000010011011000011110000111,01000001010110010100111101010000010011011000011110000111,0,-1,correcta,1,1.23,0.187
fletcher,DQEAULZ,010001000101000101000101010000010101010101001100010110100001100000011000,010001000101000101000101010000010101010101001100010110100001100000011000,0,-1,correcta,1,1.65,0.079
fletcher,ZWJYXVWFRG,010110100101011101001010010110010101100001010110010101110100011001010010010001110011101100111011,010110100101011101001010010110010101100001010110010101110100011001010010010001110011101100111011,0,-1,correcta,1,0.57,0.001
fletcher,WSSJ,010101110101001101010011010010100100100001001000,010101110101001101010011010010100100100001001000,0,-1,correcta,1,1.82,0.146
fletcher,MVNFNTTXEE,010011010101011001001110010001100100111001010100010101000101100001000101010001010001001000010010,010011010101011001001110010001100100111001010100010101000101100001000101010001010001001000010010,0,-1,correcta,1,0.54,0.039
fletcher,LBEMQFLD,01001100010000100100010101001101010100010100011001001100010001000100100101001001,01001100010000100100010101001101010100010100011001001100010001000100100101001001,0,-1,correcta,1,1.66,0.044
fletcher,IGDQKFJK,01001001010001110100010001010001010010110100011001001010010010110100110101001101,01001001010001110100010001010001010010110100011001001010010010110100110101001101,0,-1,correcta,1,0.5,0.12
fletcher,YVGW,010110010101011001000111010101110100111001001110,010110010101011001000111010101110100111001001110,0,-1,correcta,1,1.04,0.125
fletcher,MSDHD,01001101010100110100010001001000010001000111000101110001,01001101010100110100010001001000010001000111000101110001,0,-1,correcta,1,2.09,0.163
fletcher,MHDFNDOZ,01001101010010000100010001000110010011100100010001001111010110100101110001011100,01001101010010000100010001000110010011100100010001001111010110100101110001011100,0,-1,correcta,1,1.37,0.052
