algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,YMC,0101100101001101010000111110100111101001,0101100101001101010000111110100111101001,0,-1,correcta,1,0.35,0.065
fletcher,HQSDI,01001000010100010101001101000100010010010111101001111010,01001000010100010101001101000100010010010111101001111010,0,-1,correcta,1,0.36,0.071
fletcher,UUC,0101010101010101010000111110110111101101,0101010101010101010000111110110111101101,0,-1,correcta,1,0.22,0.167
fletcher,TGJTHSLSG,0101010001000111010010100101010001001000010100110100110001010011010001111011110010111100,0101010001000111010010100101010001001000010100110100110001010011010001111011110010111100,0,-1,correcta,1,0.26,0.196
fletcher,CSZDS,01000011010100110101101001000100010100111000100010001000,01000011010100110101101001000100010100111000100010001000,0,-1,correcta,1,2.78,0.125
fletcher,VUDIYXCBHJ,010101100101010101000100010010010101100101011000010000110100001001001000010010100000001100000011,010101100101010101000100010010010101100101011000010000110100001001001000010010100000001100000011,0,-1,correcta,1,0.42,0.164
fletcher,XTIUPNJQ,01011000010101000100100101010101010100000100111001001010010100011000010110000101,01011000010101000100100101010101010100000100111001001010010100011000010110000101,0,-1,correcta,1,0.6,0.122
fletcher,YMX,0101100101001101010110001111111011111110,0101100101001101010110001111111011111110,0,-1,correcta,1,0.3,0.187
fletcher,XYUTVIUUKU,010110000101100101010101010101000101011001001001010101010101010101001011010101010100011001000110,010110000101100101010101010101000101011001001001010101010101010101001011010101010100011001000110,0,-1,correcta,1,0.5,0.097
fletcher,INQYRJTLNX,010010010100111001010001010110010101001001001010010101000100110001001110010110000010011000100110,010010010100111001010001010110010101001001001010010101000100110001001110010110000010011000100110,0,-1,correcta,1,0.9,0.117
fletcher,TWW,0101010001010111010101110000001100000011,0101010001010111010101110000001100000011,0,-1,correcta,1,0.48,0.054
fletcher,QSMUCRJTKX,010100010101001101001101010101010100001101010010010010100101010001001011010110000001111100011111,010100010101001101001101010101010100001101010010010010100101010001001011010110000001111100011111,0,-1,correcta,1,0.57,0.035
fletcher,XOX,0101100001001111010110000000000000000000,0101100001001111010110000000000000000000,0,-1,correcta,1,0.4,0.086
fletcher,CPHJDIUT,01000011010100000100100001001010010001000100100101010101010101000101110101011101,01000011010100000100100001001010010001000100100101010101010101000101110101011101,0,-1,correcta,1,0.4,0.054
fletcher,YHSTXMGO,01011001010010000101001101010100010110000100110101000111010011111000010110000101,01011001010010000101001101010100010110000100110101000111010011111000010110000101,0,-1,correcta,1,0.96,0.192
fletcher,BSTTH,01000010010100110101010001010100010010001000011010000110,01000010010100110101010001010100010010001000011010000110,0,-1,correcta,1,0.46,0.195
fletcher,JTGKI,01001010010101000100011101001011010010010111101001111010,01001010010101000100011101001011010010010111101001111010,0,-1,correcta,1,1.03,0.093
fletcher,VZHM,010101100101101001001000010011010100011001000110,010101100101101001001000010011010100011001000110,0,-1,correcta,1,1.07,0.145
fletcher,ACWSELJBTL,010000010100001101010111010100110100010101001100010010100100001001010100010011001110110111101101,010000010100001101010111010100110100010101001100010010100100001001010100010011001110110111101101,0,-1,correcta,1,0.96,0.196
fletcher,ZWZCXIW,010110100101011101011010010000110101100001001001010101110100100001001000,010110100101011101011010010000110101100001001001010101110100100001001000,0,-1,correcta,1,0.9,0.148
fletcher,TVVJ,010101000101011001010110010010100100101101001011,010101000101011001010110010010100100101101001011,0,-1,correcta,1,1.16,0.102
fletcher,VTUXNM,0101011001010100010101010101100001001110010011011111001111110011,0101011001010100010101010101100001001110010011011111001111110011,0,-1,correcta,1,0.57,0.032
