algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,ZEQPDDRLP,0101101001000101010100010101000001000100010001000101001001001100010100001011100010111000,0101101001000101010100010101000001000100010001000101001001001100010100001011100010111000,0,-1,correcta,1,0.27,0.104
fletcher,ZEADP,01011010010001010100000101000100010100000111010101110101,01011010010001010100000101000100010100000111010101110101,0,-1,correcta,1,0.52,0.037
fletcher,YME,0101100101001101010001011110101111101011,0101100101001101010001011110101111101011,0,-1,correcta,1,0.75,0.117
fletcher,SYW,0101001101011001010101110000010000000100,0101001101011001010101110000010000000100,0,-1,correcta,1,0.33,0.033
fletcher,DRRSH,01000100010100100101001001010011010010001000010010000100,01000100010100100101001001010011010010001000010010000100,0,-1,correcta,1,0.51,0.063
fletcher,PFSTAUOTZ,0101000001000110010100110101010001000001010101010100111101010100010110101101001011010010,0101000001000110010100110101010001000001010101010100111101010100010110101101001011010010,0,-1,correcta,1,0.22,0.096
fletcher,SYJ,0101001101011001010010101111011011110110,0101001101011001010010101111011011110110,0,-1,correcta,1,0.23,0.132
fletcher,MQDNJ,01001101010100010100010001001110010010100111101101111011,01001101010100010100010001001110010010100111101101111011,0,-1,correcta,1,0.3,0.12
fletcher,RIGLF,01010010010010010100011101001100010001100111010101110101,01010010010010010100011101001100010001100111010101110101,0,-1,correcta,1,0.28,0.006
fletcher,SYI,0101001101011001010010011111010111110101,0101001101011001010010011111010111110101,0,-1,correcta,1,0.22,0.183
fletcher,WSSQ,010101110101001101010011010100010100111101001111,010101110101001101010011010100010100111101001111,0,-1,correcta,1,0.22,0.008
fletcher,CFVDDRQC,01000011010001100101011001000100010001000101001001010001010000110100111101001111,01000011010001100101011001000100010001000101001001010001010000110100111101001111,0,-1,correcta,1,0.38,0.102
fletcher,SYC,0101001101011001010000111110111111101111,0101001101011001010000111110111111101111,0,-1,correcta,1,0.37,0.045
fletcher,WSSY,010101110101001101010011010110010101011101010111,010101110101001101010011010110010101011101010111,0,-1,correcta,1,1.28,0.116
fletcher,YPSN,010110010101000001010011010011100100101101001011,010110010101000001010011010011100100101101001011,0,-1,correcta,1,0.61,0.172
fletcher,TTZA,010101000101010001011010010000010100010001000100,010101000101010001011010010000010100010001000100,0,-1,correcta,1,0.41,0.157
fletcher,JSHYBZNAW,0100101001010011010010000101100101000010010110100100111001000001010101111100001011000010,0100101001010011010010000101100101000010010110100100111001000001010101111100001011000010,0,-1,correcta,1,0.83,0.158
fletcher,PLAWL,01010000010011000100000101010111010011001000000110000001,01010000010011000100000101010111010011001000000110000001,0,-1,correcta,1,1.65,0.029
fletcher,LNHXURWAVA,010011000100111001001000010110000101010101010010010101110100000101010110010000010001001100010011,010011000100111001001000010110000101010101010010010101110100000101010110010000010001001100010011,0,-1,correcta,1,0.46,0.193
fletcher,UXOD,010101010101100001001111010001000100000101000001,010101010101100001001111010001000100000101000001,0,-1,correcta,1,1.83,0.01
fletcher,MEXJV,01001101010001010101100001001010010101101000101110001011,01001101010001010101100001001010010101101000101110001011,0,-1,correcta,1,0.93,0.152
fletcher,PWVZVTA,010100000101011101010110010110100101011001010100010000010100010001000100,010100000101011101010110010110100101011001010100010000010100010001000100,0,-1,correcta,1,1.2,0.153
fletcher,IYFBQ,01001001010110010100011001000010010100010111110001111100,01001001010110010100011001000010010100010111110001111100,0,-1,correcta,1,0.31,0.08
fletcher,YUFLUAKNMG,010110010101010101000110010011000101010101000001010010110100111001001101010001110000011000000110,010110010101010101000110010011000101010101000001010010110100111001001101010001110000011000000110,0,-1,correcta,1,0.38,0.044
fletcher,HJTWS,01001000010010100101010001010111010100111001000110010001,01001000010010100101010001010111010100111001000110010001,0,-1,correcta,1,0.35,0.073
fletcher,OVPKQTBGPA,010011110101011001010000010010110101000101010100010000100100011101010000010000010000001000000010,010011110101011001010000010010110101000101010100010000100100011101010000010000010000001000000010,0,-1,correcta,1,0.31,0.042
fletcher,HOSJJ,01001000010011110101001101001010010010100111111101111111,01001000010011110101001101001010010010100111111101111111,0,-1,correcta,1,0.89,0.135
